"x","y"
"317.7175","-23.18755"
"-183.6067","250.0784"
"-153.0464","154.0786"
"92.1977","-39.44954"
"-254.5867","-83.87747"
"-172.2334","-247.3197"
"-19.82717","-77.92243"
"209.6965","-176.0217"
"-79.33701","290.6671"
"101.1571","-276.0046"
"197.4882","-70.73165"
"204.4898","-236.4978"
"-229.3088","1.322249"
"67.41919","312.7707"
"133.5995","-241.8798"
"226.0105","189.1323"
"20.97278","86.19025"
"-219.734","39.9976"
"-26.65656","195.444"
"247.3225","191.7053"
"30.90307","166.5607"
"212.8884","229.7112"
"-148.7996","-208.0367"
"-164.0798","-86.22366"
"-219.4922","170.6206"
